"TimeRun1","Run1","Run2","Run3","Run4"
7.900,0.13,0.18,0.16,0.14
7.950,0.13,0.17,0.16,0.13
8.000,0.14,0.17,0.15,0.13
8.050,0.14,0.17,0.16,0.13
8.100,0.14,0.17,0.15,0.13
8.150,0.15,0.18,0.15,0.14
8.200,0.14,0.18,0.15,0.14
8.250,0.14,0.17,0.15,0.13
8.300,0.13,0.18,0.15,0.13
8.350,0.14,0.18,0.15,0.14
8.400,0.14,0.18,0.16,0.13
8.450,0.14,0.18,0.16,0.14
8.500,0.14,0.18,0.14,0.13
8.550,0.14,0.19,0.15,0.14
8.600,0.14,0.18,0.15,0.15
8.650,0.14,0.18,0.14,0.15
8.700,0.14,0.18,0.14,0.14
8.750,0.13,0.18,0.16,0.14
8.800,0.14,0.17,0.15,0.14
8.850,0.14,0.17,0.14,0.14
8.900,0.13,0.18,0.15,0.13
8.950,0.14,0.18,0.15,0.14
9.000,0.14,0.18,0.15,0.14
9.050,0.13,0.18,0.15,0.14
9.100,0.14,0.17,0.15,0.14
9.150,0.13,0.18,0.14,0.14
9.200,0.14,0.18,0.14,0.13
9.250,0.13,0.18,0.15,0.13
9.300,0.15,0.18,0.15,0.13
9.350,0.15,0.18,0.14,0.14
9.400,0.14,0.18,0.16,0.14
9.450,0.14,0.18,0.16,0.14
9.500,0.14,0.18,0.15,0.14
9.550,0.13,0.19,0.15,0.14
9.600,0.13,0.18,0.15,0.14
9.650,0.14,0.18,0.15,0.14
9.700,0.13,0.18,0.15,0.13
9.750,0.13,0.18,0.16,0.13
9.800,0.13,0.17,0.16,0.13
9.850,0.13,0.19,0.15,0.13
9.900,0.13,0.18,0.15,0.13
9.950,0.13,0.17,0.15,0.13
10.000,0.13,0.18,0.15,0.12
10.050,0.14,0.18,0.15,0.13
10.100,0.13,0.18,0.15,0.12
10.150,0.13,0.18,0.14,0.12
10.200,0.13,0.18,0.15,0.12
10.250,0.14,0.17,0.15,0.12
10.300,0.14,0.17,0.15,0.13
10.350,0.13,0.18,0.15,0.13
10.400,0.14,0.17,0.15,0.13
10.450,0.13,0.18,0.16,0.13
10.500,0.14,0.17,0.15,0.13
10.550,0.14,0.18,0.15,0.13
10.600,0.13,0.17,0.16,0.14
10.650,0.13,0.18,0.15,0.13
10.700,0.12,0.18,0.14,0.14
10.750,0.14,0.17,0.15,0.13
10.800,0.13,0.18,0.15,0.12
10.850,0.13,0.18,0.15,0.13
10.900,0.12,0.18,0.16,0.13
10.950,0.14,0.18,0.15,0.13
11.000,0.14,0.17,0.15,0.12
11.050,0.14,0.17,0.15,0.13
11.100,0.13,0.17,0.15,0.13
11.150,0.14,0.18,0.15,0.13
11.200,0.15,0.18,0.15,0.13
11.250,0.13,0.18,0.15,0.13
11.300,0.13,0.17,0.15,0.12
11.350,0.14,0.17,0.15,0.13
11.400,0.13,0.18,0.15,0.12
11.450,0.13,0.18,0.15,0.12
11.500,0.13,0.18,0.15,0.12
11.550,0.14,0.19,0.15,0.13
11.600,0.13,0.18,0.15,0.13
11.650,0.14,0.18,0.15,0.12
11.700,0.13,0.18,0.16,0.12
11.750,0.13,0.17,0.15,0.13
11.800,0.13,0.17,0.15,0.13
11.850,0.13,0.17,0.15,0.12
11.900,0.14,0.16,0.15,0.12
11.950,0.14,0.17,0.15,0.13
12.000,0.13,0.18,0.14,0.13
12.050,0.14,0.17,0.15,0.13
12.100,0.13,0.17,0.14,0.13
12.150,0.13,0.17,0.16,0.14
12.200,0.14,0.17,0.14,0.13
12.250,0.14,0.17,0.15,0.13
12.300,0.13,0.17,0.15,0.14
12.350,0.14,0.16,0.16,0.12
12.400,0.13,0.16,0.15,0.13
12.450,0.14,0.16,0.15,0.13
12.500,0.14,0.17,0.14,0.12
12.550,0.14,0.16,0.15,0.13
12.600,0.13,0.17,0.15,0.13
12.650,0.14,0.18,0.15,0.13
12.700,0.14,0.18,0.15,0.13
12.750,0.14,0.18,0.15,0.14
12.800,0.13,0.18,0.14,0.13
12.850,0.13,0.18,0.15,0.14
12.900,0.14,0.18,0.14,0.13
12.950,0.14,0.18,0.13,0.14
13.000,0.13,0.18,0.14,0.14
13.050,0.13,0.18,0.14,0.15
13.100,0.13,0.18,0.14,0.13
13.150,0.13,0.18,0.15,0.13
13.200,0.13,0.17,0.15,0.15
13.250,0.13,0.18,0.15,0.14
13.300,0.14,0.18,0.15,0.14
13.350,0.14,0.18,0.15,0.14
13.400,0.13,0.18,0.15,0.14
13.450,0.14,0.18,0.16,0.14
13.500,0.13,0.18,0.15,0.14
13.550,0.14,0.17,0.14,0.13
13.600,0.13,0.17,0.15,0.13
13.650,0.14,0.16,0.14,0.14
13.700,0.14,0.15,0.14,0.13
13.750,0.15,0.16,0.15,0.14
13.800,0.14,0.17,0.14,0.14
13.850,0.14,0.17,0.15,0.13
13.900,0.15,0.17,0.15,0.14
13.950,0.15,0.17,0.15,0.14
14.000,0.13,0.18,0.15,0.14
14.050,0.14,0.17,0.14,0.14
14.100,0.13,0.18,0.15,0.13
14.150,0.15,0.18,0.16,0.13
14.200,0.15,0.17,0.16,0.13
14.250,0.14,0.17,0.15,0.13
14.300,0.13,0.17,0.16,0.13
14.350,0.14,0.17,0.15,0.13
14.400,0.14,0.18,0.15,0.13
14.450,0.13,0.18,0.15,0.14
14.500,0.14,0.17,0.15,0.14
14.550,0.14,0.17,0.16,0.15
14.600,0.14,0.17,0.15,0.14
14.650,0.14,0.18,0.16,0.14
14.700,0.14,0.18,0.15,0.13
14.750,0.13,0.18,0.15,0.14
14.800,0.14,0.18,0.15,0.14
14.850,0.13,0.18,0.15,0.14
14.900,0.13,0.18,0.15,0.14
14.950,0.14,0.16,0.16,0.14
15.000,0.13,0.18,0.15,0.14
15.050,0.13,0.17,0.16,0.14
15.100,0.14,0.18,0.15,0.13
15.150,0.13,0.18,0.16,0.13
15.200,0.12,0.17,0.16,0.13
15.250,0.14,0.16,0.16,0.13
15.300,0.13,0.17,0.15,0.14
15.350,0.13,0.17,0.16,0.14
15.400,0.13,0.17,0.16,0.14
15.450,0.12,0.17,0.15,0.13
15.500,0.14,0.16,0.15,0.14
15.550,0.14,0.16,0.16,0.14
15.600,0.14,0.16,0.16,0.14
15.650,0.14,0.16,0.16,0.13
15.700,0.14,0.16,0.16,0.14
15.750,0.13,0.18,0.15,0.14
15.800,0.13,0.17,0.16,0.14
15.850,0.13,0.17,0.16,0.14
15.900,0.13,0.17,0.16,0.14
15.950,0.14,0.17,0.15,0.14
16.000,0.14,0.17,0.14,0.14
16.050,0.14,0.17,0.15,0.14
16.100,0.15,0.18,0.15,0.14
16.150,0.14,0.17,0.15,0.14
16.200,0.14,0.18,0.15,0.14
16.250,0.14,0.17,0.16,0.15
16.300,0.14,0.17,0.15,0.14
16.350,0.14,0.17,0.16,0.13
16.400,0.14,0.18,0.17,0.14
16.450,0.14,0.18,0.16,0.14
16.500,0.14,0.17,0.16,21.16
16.550,0.14,0.19,0.15,16.10
16.600,0.14,0.17,0.15,12.83
16.650,0.14,0.18,0.15,11.04
16.700,0.14,0.18,0.15,9.57
16.750,0.14,0.18,0.15,8.45
16.800,0.14,0.17,0.15,7.00
16.850,0.14,0.18,0.16,2.57
16.900,0.14,0.18,0.16,0.15
16.950,0.13,0.17,0.16,0.16
17.000,0.13,0.18,0.16,0.14
17.050,0.13,0.18,0.16,0.15
17.100,0.14,0.18,21.54,0.15
17.150,0.14,0.19,14.34,0.15
17.200,0.14,0.18,14.90,0.14
17.250,0.14,0.18,12.51,0.15
17.300,0.13,0.16,10.29,0.15
17.350,0.15,0.17,9.17,0.14
17.400,0.13,0.17,7.67,0.14
17.450,0.14,0.18,3.62,0.14
17.500,0.15,0.18,0.19,0.14
17.550,24.56,0.18,0.15,0.14
17.600,17.97,0.17,0.15,0.14
17.650,14.02,0.18,0.15,0.15
17.700,11.79,0.18,0.14,0.15
17.750,10.37,0.19,0.14,0.15
17.800,8.55,0.19,0.16,0.15
17.850,6.44,0.18,0.15,0.15
17.900,1.80,0.19,0.15,0.15
17.950,0.13,0.19,0.15,0.15
18.000,0.13,0.19,0.15,0.14
18.050,0.14,0.20,0.16,0.15
18.100,0.13,0.18,0.15,0.15
18.150,0.13,0.19,0.15,0.15
18.200,0.14,0.18,0.15,0.14
18.250,0.13,0.18,0.15,0.15
18.300,0.14,0.19,0.15,0.15
18.350,0.14,0.19,0.16,0.14
18.400,0.13,0.19,0.16,0.15
18.450,0.13,0.18,0.15,0.15
18.500,0.13,0.18,0.15,0.14
18.550,0.13,0.20,0.16,0.14
18.600,0.13,0.18,0.15,0.14
18.650,0.14,0.18,0.15,0.14
18.700,0.13,0.19,0.15,0.14
18.750,0.13,0.19,0.14,0.14
18.800,0.13,0.18,0.15,0.14
18.850,0.13,0.19,0.15,0.14
18.900,0.14,0.18,0.15,0.15
18.950,0.14,0.18,0.15,0.13
19.000,0.14,0.17,0.15,0.14
19.050,0.13,0.18,0.15,0.13
19.100,0.13,0.18,0.15,0.14
19.150,0.13,0.18,0.15,0.15
19.200,0.12,0.18,0.14,0.14
19.250,0.15,0.18,0.15,0.13
19.300,0.14,0.18,0.16,0.13
19.350,0.13,0.19,0.15,0.14
19.400,0.15,0.18,0.15,0.14
19.450,0.15,0.18,0.15,0.14
19.500,0.13,0.17,0.15,0.14
19.550,0.14,0.18,0.15,0.13
19.600,0.12,25.08,0.15,0.14
19.650,0.13,19.94,0.14,0.15
19.700,0.13,14.89,0.15,0.14
19.750,0.12,11.91,0.15,0.14
19.800,0.12,10.10,0.15,0.13
19.850,0.13,9.05,0.15,0.14
19.900,0.13,7.90,0.15,0.14
19.950,0.13,5.23,0.15,0.14
20.000,0.12,0.41,0.15,0.13
20.050,0.12,0.17,0.14,0.14
20.100,0.13,0.18,0.15,0.13
20.150,0.14,0.16,0.14,0.12
20.200,0.12,0.16,0.15,0.14
20.250,0.14,0.17,0.15,0.14
20.300,0.14,0.17,0.14,0.14
20.350,0.14,0.16,0.14,0.14
20.400,0.14,0.17,0.14,0.14
20.450,0.14,0.16,0.15,0.14
20.500,0.13,0.17,0.16,0.14
20.550,0.14,0.18,0.16,0.15
20.600,0.13,0.16,0.16,0.14
20.650,0.14,0.16,0.16,0.14
20.700,0.13,0.17,0.15,0.14
20.750,0.14,0.18,0.15,0.15
20.800,0.14,0.18,0.15,0.14
20.850,0.15,0.17,0.15,0.15
20.900,0.13,0.16,0.15,0.13
20.950,0.14,0.17,0.15,0.14
21.000,0.14,0.17,0.15,0.14
21.050,0.13,0.17,0.15,0.14
21.100,0.13,0.16,0.15,0.14
21.150,0.12,0.16,0.15,0.13
21.200,0.12,0.16,0.15,0.13
21.250,0.12,0.16,0.15,0.13
21.300,0.12,0.16,0.15,0.13
21.350,0.13,0.16,0.16,0.14
21.400,0.13,0.15,0.15,0.14
21.450,0.13,0.15,0.15,0.14
21.500,0.13,0.15,0.15,0.14
21.550,0.14,0.15,0.15,0.14
21.600,0.13,0.16,0.14,0.14
21.650,0.13,0.17,0.14,0.14
21.700,0.13,0.17,0.14,0.13
21.750,0.14,0.17,0.15,0.14
21.800,0.13,0.15,0.14,0.14
21.850,0.13,0.16,0.14,0.15
21.900,0.13,0.16,0.14,0.14
21.950,0.14,0.16,0.15,0.14
22.000,0.14,0.15,0.15,0.14
22.050,0.13,0.16,0.15,0.14
22.100,0.12,0.16,0.16,0.13
22.150,0.13,0.16,0.16,0.13
22.200,0.13,0.15,0.15,0.14
22.250,0.13,0.15,0.16,0.13
22.300,0.13,0.15,0.15,0.13
22.350,0.13,0.15,0.15,0.15
22.400,0.13,0.15,0.15,0.14
22.450,0.12,0.14,0.15,0.13
22.500,0.13,0.15,0.16,0.14
22.550,0.13,0.16,0.16,0.14
22.600,0.12,0.15,0.16,0.14
22.650,0.12,0.16,0.16,0.13
22.700,0.13,0.15,0.16,0.12
22.750,0.12,0.16,0.15,0.14
22.800,0.13,0.16,0.16,0.14
22.850,0.13,0.16,0.15,0.14
22.900,0.12,0.15,0.15,0.14
22.950,0.13,0.15,0.15,0.13
23.000,0.13,0.15,0.16,0.12
23.050,0.12,0.15,0.16,0.13
23.100,0.12,0.15,0.16,0.12
23.150,0.13,0.15,0.16,0.12
23.200,0.13,0.16,0.15,0.13
23.250,0.13,0.16,0.16,0.14
23.300,0.13,0.16,0.16,0.12
23.350,0.12,0.16,0.16,0.12
23.400,0.14,0.16,0.15,0.13
23.450,0.13,0.16,0.15,0.13
23.500,0.13,0.16,0.15,0.13
23.550,0.13,0.15,0.15,0.14
23.600,0.13,0.16,0.15,0.13
23.650,0.12,0.16,0.15,0.13
23.700,0.13,0.16,0.16,0.14
23.750,0.12,0.16,0.15,0.13
23.800,0.13,0.16,0.15,0.14
23.850,0.14,0.16,0.15,0.13
23.900,0.13,0.16,0.15,0.13
23.950,0.13,0.16,0.15,0.14
24.000,0.13,0.15,0.16,0.14
24.050,0.13,0.15,0.15,0.14
24.100,0.14,0.15,0.15,0.13
24.150,0.14,0.16,0.15,0.12
24.200,0.13,0.16,0.15,0.12
24.250,0.14,0.16,0.15,0.12
24.300,0.13,0.15,0.15,0.12
24.350,0.13,0.16,0.16,0.13
24.400,0.14,0.16,0.15,0.14
24.450,0.14,0.16,0.16,0.13
24.500,0.15,0.15,0.16,0.13
24.550,0.14,0.16,0.16,0.14
,,0.17,0.15,0.14
,,0.16,0.15,0.14
,,0.16,0.15,0.13
,,0.16,0.15,0.12
,,0.17,0.16,0.13
,,0.16,0.15,0.12
,,0.16,0.15,0.12
,,0.16,0.16,0.13
,,0.15,0.15,0.13
,,0.16,0.15,0.13
,,0.15,0.15,0.13
,,0.16,0.14,0.12
,,0.16,0.15,0.13
,,0.16,0.14,0.13
,,0.16,0.15,0.12
,,0.16,0.15,0.13
,,0.15,0.14,0.12
,,0.16,0.14,0.13
,,0.15,0.15,0.13
,,0.16,0.14,0.13
,,0.16,0.14,0.13
,,0.15,0.14,0.13
,,0.15,0.14,0.14
,,0.15,0.14,0.12
,,0.16,0.14,0.12
,,0.15,0.15,0.14
,,0.16,0.15,0.12
,,0.15,0.15,0.12
,,0.15,0.14,0.13
,,0.14,0.15,0.13
,,0.16,0.14,0.12
,,0.15,0.14,0.12
,,0.16,0.14,0.13
,,0.15,0.13,0.13
,,0.15,0.14,0.13
,,0.16,0.15,0.13
,,0.15,0.14,0.13
,,0.16,0.15,0.14
,,0.15,0.14,0.14
,,0.15,0.14,0.12
,,0.15,0.15,0.14
,,0.16,0.15,0.13
,,0.16,0.14,0.13
,,0.16,0.14,0.14
,,0.16,0.15,0.13
,,0.16,0.15,0.15
,,0.16,0.15,0.15
,,0.16,0.15,0.15
,,0.16,0.16,0.14
,,0.16,0.16,0.14
,,0.15,0.15,0.13
,,0.15,0.14,0.15
,,0.14,0.15,0.15
,,0.15,0.15,0.15
,,0.15,0.16,0.14
,,0.16,0.15,0.15
,,0.15,0.14,0.14
,,0.15,0.15,0.15
,,0.16,0.14,0.14
,,0.16,0.15,0.16
,,0.16,0.15,0.15
,,0.16,0.15,0.14
,,0.15,0.14,0.14
,,0.16,0.14,0.15
,,0.16,0.14,0.15
,,0.16,0.15,0.15
,,0.16,0.15,0.14
,,0.16,0.14,0.15
,,0.16,0.14,0.15
,,0.15,0.15,0.15
,,0.16,0.13,0.15
,,0.15,0.14,0.14
,,0.15,0.14,0.14
,,0.15,0.15,0.15
,,0.15,0.15,0.14
,,0.15,0.15,0.14
,,,0.15,0.13
,,,0.16,0.14
,,,0.14,0.14
,,,0.15,0.14
,,,0.14,0.14
,,,0.14,0.14
,,,0.14,0.13
,,,0.15,0.14
,,,0.15,0.14
,,,0.14,0.13
,,,0.14,0.14
,,,0.15,0.14
,,,0.14,0.13
,,,0.14,0.14
,,,0.15,0.14
,,,0.14,0.14
,,,0.15,0.15
,,,0.15,0.16
,,,0.15,0.15
,,,0.15,0.16
,,,0.14,0.15
,,,0.14,0.15
,,,0.14,0.14
,,,0.15,0.15
,,,0.14,0.14
,,,0.14,0.15
,,,0.14,0.15
,,,0.14,0.15
,,,0.14,0.15
,,,0.15,0.15
,,,0.14,0.14
,,,0.14,0.14
,,,0.13,0.14
,,,0.13,0.14
,,,0.14,0.14
,,,0.14,0.14
,,,0.14,0.13
,,,0.14,0.14
,,,0.14,0.14
,,,0.14,0.15
,,,0.13,0.14
,,,0.14,0.14
,,,0.14,0.13
,,,0.15,0.14
,,,0.13,0.14
,,,0.14,0.14
,,,0.14,0.14
,,,0.13,0.13
,,,0.14,0.14
,,,0.15,0.14
,,,0.14,0.15
,,,0.14,0.14
,,,0.14,0.14
,,,0.14,0.15
,,,0.14,0.14
,,,0.15,0.14
,,,0.14,0.14
,,,0.14,0.15
,,,0.15,0.14
,,,0.15,0.15
,,,0.15,0.14
,,,0.14,0.15
,,,0.14,0.15
,,,0.15,0.15
,,,0.15,0.14
,,,0.15,0.15
,,,0.14,0.15
,,,0.14,0.14
,,,0.14,0.14
,,,0.14,0.14
,,,0.14,0.13
,,,0.14,0.14
,,,0.14,0.12
,,,0.15,0.13
,,,0.14,0.14
,,,0.15,0.15
,,,0.15,0.14
,,,0.14,0.14
,,,0.14,0.15
,,,0.14,0.15
,,,0.14,0.14
,,,0.13,0.14
,,,0.14,0.13
,,,0.13,0.14
,,,0.14,0.13
,,,0.14,0.15
,,,0.14,0.14
,,,0.14,0.14
,,,0.15,0.15
,,,0.15,0.15
,,,0.13,0.14
,,,0.15,0.15
,,,0.14,0.14
,,,0.14,0.14
,,,0.13,0.15
,,,0.13,0.15
,,,0.14,0.15
,,,0.13,0.15
,,,0.13,0.15
,,,0.13,0.15
,,,0.13,0.15
,,,0.13,0.15
,,,0.14,0.15
,,,0.14,0.15
,,,0.13,0.14
,,,0.14,0.13
,,,0.13,0.14
,,,0.14,0.14
,,,0.13,0.14
,,,0.13,0.15
,,,0.14,0.14
,,,0.14,0.14
,,,0.14,0.13
,,,0.13,0.14
,,,0.14,0.14
,,,0.13,0.13
,,,0.13,0.14
,,,0.13,0.14
,,,0.13,0.14
,,,0.13,0.13
,,,0.14,0.13
,,,0.14,0.13
,,,0.14,0.13
,,,0.13,0.14
,,,0.14,0.14
,,,0.14,0.14
,,,0.14,0.14
,,,0.15,0.14
,,,0.14,0.15
,,,0.15,0.14
,,,0.14,0.13
,,,0.14,0.14
,,,0.15,0.14
,,,0.14,0.13
,,,0.14,0.13
,,,0.15,0.13
,,,0.14,0.13
,,,0.15,0.14
,,,0.15,0.14
,,,0.16,0.14
,,,0.16,0.13
,,,0.14,0.14
,,,0.15,0.14
,,,0.14,0.14
,,,0.15,0.14
,,,0.15,0.13
,,,0.14,0.14
,,,0.14,0.14
,,,0.15,0.14
,,,0.14,0.14
,,,0.16,0.13
,,,0.15,0.14
,,,0.14,0.14
,,,0.15,0.14
,,,0.15,0.14
,,,0.15,0.14
,,,0.14,0.13
,,,0.14,0.14
,,,0.15,0.13
,,,0.15,0.14
,,,0.15,0.14
,,,0.14,0.14
,,,0.15,0.13
,,,0.15,0.13
,,,0.14,0.13
,,,0.14,0.13
,,,0.15,0.13
,,,0.15,0.13
,,,0.14,0.14
,,,0.15,0.15
,,,0.15,0.14
,,,0.15,0.13
,,,0.15,0.15
,,,0.14,0.13
,,,0.15,0.14
,,,0.15,0.14
,,,0.15,0.14
,,,0.14,0.14
,,,0.14,0.14
,,,0.15,0.14
,,,0.15,0.14
,,,0.15,0.14
,,,0.15,0.14
,,,0.15,0.14
,,,0.14,0.14
,,,0.14,0.13
,,,0.14,0.14
,,,0.15,0.15
,,,0.14,0.14
,,,0.15,0.15
,,,0.14,0.14
,,,0.14,0.14
,,,0.13,0.14
,,,0.14,0.14
,,,0.15,0.13
,,,0.14,0.12
,,,0.14,0.13
,,,0.15,0.14
,,,0.14,0.14
,,,0.15,0.14
,,,0.15,0.14
,,,0.15,0.14
,,,0.15,0.13
,,,0.15,0.13
,,,0.14,0.13
,,,0.14,0.14
,,,0.15,0.12
,,,0.15,0.13
,,,0.14,0.13
,,,0.15,0.14
,,,0.15,0.13
,,,0.15,0.14
,,,0.14,0.13
,,,0.15,0.14
,,,0.15,0.13
,,,0.15,0.13
,,,0.15,0.13
,,,0.16,0.13
,,,0.15,0.14
,,,0.15,0.14
,,,0.15,0.14
,,,0.16,0.13
,,,0.15,0.14
,,,0.16,0.14
,,,0.15,0.15
,,,0.16,0.14
,,,0.16,0.14
,,,0.17,0.15
,,,0.16,0.14
,,,0.16,0.14
,,,0.15,0.14
,,,0.15,0.13
,,,0.16,0.14
,,,0.16,0.14
,,,0.16,0.13
,,,0.16,0.14
,,,0.15,0.14
,,,0.15,0.13
,,,0.14,0.12
,,,0.15,0.13
,,,0.14,0.13
,,,0.15,0.13
,,,0.14,0.12
,,,0.14,0.13
,,,0.14,0.13
,,,0.15,0.13
,,,0.15,0.14
,,,0.14,0.13
,,,0.15,0.13
,,,0.15,0.13
,,,0.14,0.13
,,,0.14,0.13
,,,0.15,0.13
,,,0.14,0.13
