"TimeRun1","Run1","Run2","Run3"
8.350,-0.21,-0.21,-0.22
8.400,-0.21,-0.22,-0.23
8.450,-0.21,-0.22,-0.23
8.500,-0.22,-0.22,-0.23
8.550,-0.21,-0.22,-0.22
8.600,-0.22,-0.22,-0.23
8.650,-0.22,-0.22,-0.22
8.700,-0.21,-0.22,-0.23
8.750,-0.20,-0.22,-0.22
8.800,-0.20,-0.22,-0.23
8.850,-0.22,-0.22,-0.22
8.900,-0.22,-0.23,-0.23
8.950,-0.22,-0.22,-0.22
9.000,-0.21,-0.22,-0.23
9.050,-0.21,-0.22,-0.22
9.100,-0.22,-0.23,-0.22
9.150,-0.21,-0.22,-0.22
9.200,-0.21,-0.22,-0.22
9.250,-0.21,-0.22,-0.21
9.300,-0.21,-0.22,-0.22
9.350,-0.21,-0.22,-0.23
9.400,-0.21,-0.23,-0.22
9.450,-0.22,-0.21,-0.23
9.500,-0.21,-0.22,-0.23
9.550,-0.21,-0.22,-0.22
9.600,-0.22,-0.23,-0.22
9.650,-0.22,-0.23,-0.22
9.700,-0.22,-0.23,-0.22
9.750,-0.22,-0.22,-0.22
9.800,-0.21,-0.22,-0.22
9.850,-0.21,-0.22,-0.23
9.900,-0.20,-0.22,-0.23
9.950,-0.21,-0.22,-0.22
10.000,-0.21,-0.22,-0.23
10.050,-0.21,-0.23,-0.21
10.100,-0.22,-0.22,-0.22
10.150,-0.22,-0.23,-0.22
10.200,-0.21,-0.22,-0.23
10.250,-0.22,-0.23,-0.23
10.300,-0.22,-0.23,-0.22
10.350,-0.22,-0.24,-0.22
10.400,-0.22,-0.23,-0.23
10.450,-0.22,-0.22,-0.22
10.500,-0.22,-0.22,-0.22
10.550,-0.22,-0.21,-0.23
10.600,-0.22,-0.23,-0.22
10.650,-0.22,-0.24,-0.23
10.700,-0.22,-0.22,-0.22
10.750,-0.23,-0.22,-0.22
10.800,-0.23,-0.22,-0.22
10.850,-0.22,-0.21,-0.22
10.900,-0.22,-0.22,-0.22
10.950,-0.23,-0.22,-0.23
11.000,-0.24,-0.22,-0.24
11.050,-0.22,-0.23,-0.23
11.100,-0.23,-0.22,-0.23
11.150,-0.22,-0.22,-0.23
11.200,-0.22,-0.22,-0.22
11.250,-0.22,-0.21,-0.22
11.300,-0.22,-0.22,-0.22
11.350,-0.20,-0.22,-0.22
11.400,-0.21,-0.21,-0.23
11.450,-0.22,-0.22,-0.23
11.500,-0.21,-0.21,-0.23
11.550,-0.22,-0.22,-0.22
11.600,-0.22,-0.22,-0.23
11.650,-0.22,-0.21,-0.23
11.700,-0.21,-0.21,-0.24
11.750,-0.21,-0.21,-0.23
11.800,-0.21,-0.22,-0.23
11.850,-0.21,-0.22,-0.23
11.900,-0.21,-0.22,-0.23
11.950,-0.21,-0.23,-0.24
12.000,-0.22,-0.23,-0.23
12.050,-0.21,-0.22,-0.23
12.100,-0.21,-0.22,-0.23
12.150,-0.20,-0.22,-0.23
12.200,-0.21,-0.22,-0.22
12.250,-0.22,-0.21,-0.23
12.300,-0.22,-0.22,-0.23
12.350,-0.22,-0.22,-0.23
12.400,-0.22,-0.22,-0.23
12.450,-0.21,-0.22,-0.24
12.500,-0.21,-0.22,-0.24
12.550,-0.21,-0.22,-0.23
12.600,-0.21,-0.21,-0.24
12.650,-0.22,-0.21,-0.23
12.700,-0.21,-0.22,-0.23
12.750,-0.20,-0.21,-0.24
12.800,-0.22,-0.22,-0.24
12.850,-0.21,-0.22,-0.24
12.900,-0.21,-0.24,-0.23
12.950,-0.21,-0.23,-0.24
13.000,-0.21,-0.22,-0.24
13.050,-0.21,-0.22,-0.23
13.100,-0.21,-0.22,-0.23
13.150,-0.21,-0.22,-0.23
13.200,-0.22,-0.22,-0.24
13.250,-0.22,-0.22,-0.24
13.300,-0.22,-0.22,-0.24
13.350,-0.21,-0.21,-0.24
13.400,-0.21,-0.22,-0.24
13.450,-0.21,-0.22,-0.24
13.500,-0.21,-0.22,-0.24
13.550,-0.21,-0.22,-0.24
13.600,-0.21,-0.22,-0.23
13.650,-0.21,-0.22,-0.23
13.700,-0.21,-0.23,-0.23
13.750,-0.20,-0.22,-0.22
13.800,-0.22,-0.22,-0.23
13.850,-0.20,-0.22,-0.23
13.900,-0.21,-0.22,-0.22
13.950,-0.21,-0.22,-0.22
14.000,-0.22,-0.21,-0.23
14.050,-0.21,-0.22,-0.22
14.100,-0.22,-0.22,-0.23
14.150,-0.21,-0.22,-0.22
14.200,-0.21,-0.22,-0.22
14.250,-0.21,-0.22,-0.22
14.300,-0.21,-0.21,-0.22
14.350,-0.20,-0.22,-0.21
14.400,-0.20,-0.22,-0.23
14.450,-0.20,-0.22,-0.22
14.500,-0.21,-0.22,-0.23
14.550,-0.21,-0.22,-0.22
14.600,-0.21,-0.22,-0.23
14.650,-0.22,-0.21,-0.22
14.700,-0.20,-0.21,-0.23
14.750,-0.21,-0.21,-0.23
14.800,-0.21,-0.22,-0.22
14.850,-0.21,-0.22,-0.23
14.900,-0.21,-0.22,-0.22
14.950,-0.22,-0.22,-0.23
15.000,-0.22,-0.22,-0.23
15.050,-0.22,-0.21,-0.24
15.100,-0.22,-0.22,-0.23
15.150,-0.22,-0.22,-0.23
15.200,-0.22,-0.23,-0.22
15.250,-0.21,-0.22,-0.22
15.300,-0.21,-0.22,-0.23
15.350,-0.21,-0.21,-0.23
15.400,-0.21,-0.22,-0.24
15.450,-0.21,-0.21,-0.23
15.500,-0.22,-0.22,-0.23
15.550,-0.22,-0.21,-0.22
15.600,-0.21,-0.22,-0.22
15.650,-0.20,-0.20,-0.22
15.700,-0.21,-0.21,-0.24
15.750,-0.21,-0.20,-0.23
15.800,-0.21,-0.20,-0.23
15.850,-0.22,-0.20,-0.22
15.900,-0.21,-0.19,-0.23
15.950,-0.20,-0.13,-0.23
16.000,-0.21,-0.08,-0.22
16.050,-0.21,-0.04,-0.23
16.100,-0.20,-0.02,-0.23
16.150,-0.20,0.02,-0.24
16.200,-0.20,0.05,-0.23
16.250,-0.21,0.11,-0.23
16.300,-0.21,0.16,-0.23
16.350,-0.21,0.24,-0.23
16.400,-0.20,0.34,-0.23
16.450,-0.21,0.49,-0.23
16.500,-0.22,0.63,-0.23
16.550,-0.20,0.81,-0.22
16.600,-0.21,0.95,-0.22
16.650,-0.21,1.55,-0.22
16.700,-0.21,1.73,-0.22
16.750,-0.22,1.91,-0.21
16.800,-0.21,2.18,-0.22
16.850,-0.22,2.44,-0.22
16.900,-0.22,2.65,-0.23
16.950,-0.21,2.69,-0.22
17.000,-0.21,2.63,-0.23
17.050,-0.22,2.61,-0.22
17.100,-0.21,2.58,-0.23
17.150,-0.21,2.53,-0.22
17.200,-0.21,2.53,-0.21
17.250,-0.21,2.50,-0.23
17.300,-0.22,2.46,-0.24
