Set,Run #1,Run #1
Weight Used(Kg) (units),Time (s),Force (N)
2,0,19.95
2,0.1,19.94
2,0.2,19.95
2,0.3,19.95
2,0.4,19.94
2,0.5,19.95
2,0.6,19.94
2,0.7,19.96
2,0.8,19.94
2,0.9,19.94
2,1,19.94
2,1.1,19.94
2,1.2,19.96
2,1.3,19.92
2,1.4,19.95
