"TimeRun1","Run1","Run2","Run3"
9.900,0.12,0.10,0.10
9.950,0.12,0.12,0.12
10.000,0.13,0.11,0.11
10.050,0.12,0.12,0.11
10.100,0.12,7.80,0.09
10.150,0.13,11.59,0.11
10.200,0.13,9.24,0.11
10.250,0.12,3.87,0.11
10.300,0.12,4.33,0.11
10.350,0.13,4.23,0.10
10.400,0.13,2.83,0.11
10.450,0.12,2.80,0.11
10.500,0.12,2.24,0.11
10.550,0.13,2.18,0.12
10.600,0.13,1.60,0.12
10.650,0.13,1.55,0.12
10.700,0.12,1.32,0.12
10.750,0.13,1.27,0.11
10.800,0.12,1.09,0.11
10.850,0.13,1.07,0.11
10.900,0.13,0.94,0.11
10.950,0.13,0.93,0.11
11.000,0.13,0.84,0.11
11.050,0.13,0.81,0.11
11.100,0.12,0.80,0.10
11.150,0.13,0.76,0.11
11.200,0.12,0.73,0.10
11.250,0.12,0.74,0.10
11.300,0.12,0.72,0.10
11.350,0.12,0.68,0.10
11.400,0.12,0.10,0.10
11.450,0.12,0.11,0.10
11.500,0.12,0.11,0.11
11.550,0.12,0.11,0.11
11.600,0.12,0.11,0.10
11.650,0.12,0.12,0.11
11.700,0.11,0.11,0.10
11.750,0.11,0.12,0.10
11.800,0.12,0.12,0.09
11.850,0.12,0.12,0.11
11.900,0.11,0.12,0.11
11.950,0.12,0.11,0.10
12.000,0.10,0.12,0.10
12.050,0.11,0.12,0.09
12.100,0.11,0.11,0.10
12.150,0.12,0.11,0.11
12.200,0.11,0.11,0.10
12.250,0.12,0.11,0.10
12.300,0.11,0.11,0.09
12.350,0.12,0.11,0.10
12.400,0.12,0.11,0.10
12.450,0.11,0.11,0.10
12.500,0.11,0.12,0.10
12.550,0.12,0.11,0.10
12.600,0.11,0.13,0.10
12.650,0.12,0.11,0.09
12.700,0.12,0.12,0.09
12.750,0.12,0.12,0.09
12.800,0.12,0.11,0.10
12.850,0.12,0.11,0.10
12.900,0.12,0.10,0.09
12.950,0.12,0.12,0.09
13.000,0.13,0.12,0.10
13.050,0.12,0.12,0.09
13.100,0.12,0.13,0.09
13.150,0.12,0.12,25.35
13.200,0.12,0.12,17.49
13.250,0.12,0.12,6.00
13.300,0.12,0.12,4.84
13.350,0.13,0.12,4.86
13.400,0.12,0.12,3.21
13.450,0.13,0.12,3.13
13.500,0.12,0.13,2.58
