"TimeRun1","Run1","Run2","Run3"
9.900,0.09,0.09,0.06
9.950,0.08,0.09,0.07
10.000,0.09,0.08,0.06
10.050,0.08,0.09,0.07
10.100,0.08,0.08,0.06
10.150,0.09,0.08,0.07
10.200,0.08,0.07,0.07
10.250,0.09,0.08,0.07
10.300,0.09,0.07,0.06
10.350,0.08,0.08,0.07
10.400,0.09,0.08,0.07
10.450,0.09,0.08,0.08
10.500,0.08,0.08,0.07
10.550,0.08,0.09,0.07
10.600,0.08,0.09,0.06
10.650,0.10,0.08,0.07
10.700,0.09,0.08,0.06
10.750,0.09,0.09,0.06
10.800,0.10,0.08,0.07
10.850,0.10,0.09,0.07
10.900,0.09,0.08,0.06
10.950,0.09,0.09,0.07
11.000,0.08,0.08,0.07
11.050,0.09,0.09,0.06
11.100,0.10,0.08,0.05
11.150,0.10,0.08,0.05
11.200,0.09,0.09,0.06
11.250,0.09,0.09,0.06
11.300,0.08,0.09,0.07
11.350,0.08,0.08,0.06
11.400,0.09,0.07,0.07
11.450,0.09,0.08,0.06
11.500,0.09,0.08,0.06
11.550,0.10,0.09,0.06
11.600,0.09,0.09,0.06
11.650,0.10,0.08,0.06
11.700,0.09,0.09,0.07
11.750,0.09,0.08,0.06
11.800,0.09,0.08,0.06
11.850,0.09,0.08,0.07
11.900,0.09,0.07,0.07
11.950,0.10,0.07,0.06
12.000,0.09,0.08,0.07
12.050,0.11,0.08,0.06
12.100,0.10,0.07,0.05
12.150,0.10,0.08,0.06
12.200,0.09,0.08,0.06
12.250,0.10,0.08,0.06
12.300,0.08,0.08,0.06
12.350,0.09,0.08,0.06
12.400,0.10,0.09,0.06
12.450,0.09,0.08,0.07
12.500,0.09,0.07,0.07
12.550,0.09,0.08,0.06
12.600,0.09,0.08,0.06
12.650,0.10,0.09,0.07
12.700,0.10,0.08,0.06
12.750,0.11,0.08,0.07
12.800,0.10,0.09,0.06
12.850,0.10,0.09,0.06
12.900,0.10,0.08,0.05
12.950,0.09,0.08,0.07
13.000,0.08,0.09,0.07
13.050,0.10,0.08,0.07
13.100,0.10,0.08,0.07
13.150,0.10,0.08,0.07
13.200,0.10,0.09,0.06
13.250,0.10,0.09,0.06
13.300,0.10,0.07,0.07
13.350,0.10,0.08,0.06
13.400,0.10,0.07,0.07
13.450,0.11,0.07,0.07
13.500,0.10,0.07,0.06
13.550,0.09,0.06,0.07
13.600,0.09,0.07,0.07
13.650,0.09,0.08,0.06
13.700,0.09,0.07,0.07
13.750,0.10,0.07,0.06
13.800,0.09,0.07,0.05
13.850,0.10,0.08,0.06
13.900,0.09,0.07,0.06
13.950,0.10,0.08,0.07
14.000,0.09,0.09,0.08
14.050,0.10,0.10,0.07
14.100,0.09,0.08,0.08
14.150,0.10,0.08,0.07
14.200,0.09,0.06,0.08
14.250,0.10,0.07,0.08
14.300,0.09,0.08,0.07
14.350,0.09,0.09,0.07
14.400,0.09,0.08,0.08
14.450,0.10,0.08,0.07
14.500,0.09,0.08,0.07
14.550,0.10,0.08,0.07
14.600,0.10,0.08,0.08
14.650,0.10,0.07,0.07
14.700,0.09,0.09,0.07
14.750,0.10,0.09,0.07
14.800,0.09,0.09,0.07
14.850,0.11,0.08,0.07
14.900,0.10,0.09,0.07
14.950,0.09,0.07,0.07
15.000,0.10,0.09,0.07
15.050,0.09,0.08,0.07
15.100,0.09,0.08,0.06
15.150,0.09,0.08,0.08
15.200,0.09,0.08,0.07
15.250,0.10,0.09,0.06
15.300,0.08,0.08,0.06
15.350,0.09,0.08,0.07
15.400,0.08,0.09,0.06
15.450,0.09,0.09,0.07
15.500,0.09,0.08,0.07
15.550,0.10,0.09,0.06
15.600,0.09,0.08,0.06
15.650,0.10,0.09,0.07
15.700,0.10,0.09,0.06
15.750,0.09,0.08,0.06
15.800,0.08,0.09,0.06
15.850,0.08,0.09,0.07
15.900,0.08,0.09,0.06
15.950,0.08,0.09,0.06
16.000,0.09,0.08,0.07
16.050,0.09,0.09,0.06
16.100,0.09,0.09,0.07
16.150,0.09,0.09,0.06
16.200,0.08,0.08,0.05
16.250,0.09,0.08,0.06
16.300,0.09,0.08,0.06
16.350,0.09,0.08,0.06
16.400,0.08,0.08,0.06
16.450,0.09,0.08,0.05
16.500,0.09,0.07,0.06
16.550,0.10,0.08,0.06
16.600,0.10,0.07,0.06
16.650,0.09,0.08,0.07
16.700,0.09,0.08,0.07
16.750,0.08,0.09,0.07
16.800,0.09,0.09,0.06
16.850,0.09,0.08,0.07
16.900,0.09,0.09,0.07
16.950,0.09,0.08,0.07
17.000,0.09,0.08,0.07
